Expriment 3-1, GA tune population 300 decrease,iteration 1k, toMate 150, toMutate 25
GA, population, 300, Evaluation Function, 3587.7644989023756, time, 190
MIMIC, samples, 180, Evaluation Function, 3588.5061571342208, time, 1840
MIMIC, samples, 170, Evaluation Function, 3548.7101281497025, time, 1726
MIMIC, samples, 160, Evaluation Function, 3510.77335222522, time, 1722
MIMIC, samples, 150, Evaluation Function, 3516.093265869257, time, 1711
MIMIC, samples, 140, Evaluation Function, 3505.266480071377, time, 1688
MIMIC, samples, 130, Evaluation Function, 3414.0258537844375, time, 1641
MIMIC, samples, 120, Evaluation Function, 3343.0992679756687, time, 1577
MIMIC, samples, 110, Evaluation Function, 3220.4879806851063, time, 1577
Expriment 4-2, MIMIC tune tokeep decrease, samples 200, iteration 1k
MIMIC, tokeep, 150, Evaluation Function, 3546.2760124885804, time, 2785
MIMIC, tokeep, 140, Evaluation Function, 3552.6652496557226, time, 2509
MIMIC, tokeep, 130, Evaluation Function, 3585.3076710035602, time, 2398
MIMIC, tokeep, 120, Evaluation Function, 3593.1837382162134, time, 2363
MIMIC, tokeep, 110, Evaluation Function, 3627.8955941687295, time, 2010
MIMIC, tokeep, 100, Evaluation Function, 3601.333276118288, time, 1917
MIMIC, tokeep, 90, Evaluation Function, 3606.175034146171, time, 1819
MIMIC, tokeep, 80, Evaluation Function, 3615.511270087346, time, 1734
MIMIC, tokeep, 70, Evaluation Function, 3607.5751311456743, time, 1670
MIMIC, tokeep, 60, Evaluation Function, 3614.9523851056706, time, 1583
MIMIC, tokeep, 50, Evaluation Function, 3596.1181077717106, time, 1438
MIMIC, tokeep, 40, Evaluation Function, 3616.847282062471, time, 1352
MIMIC, tokeep, 30, Evaluation Function, 3666.7322559091745, time, 1297
MIMIC, tokeep, 20, Evaluation Function, 3657.6329791325616, time, 1232
MIMIC, tokeep, 10, Evaluation Function, 3678.156451362486, time, 1156
